"All Because of You","Action comedy",Malay
"After the Raid",Documentary,Spanish
"After Maria",Documentary,English/Spanish
"Airplane Mode",Comedy,Portuguese
"American Factory: A Conversation with the Obamas ","Aftershow / Interview",English
"A Christmas Prince: The Royal Wedding","Romantic comedy",English
"A Babysitter's Guide to Monster Hunting",Comedy/Fantasy/Family,English
"A Christmas Prince: The Royal Baby","Romantic comedy",English
"A Very Murray Christmas","Comedy / Musical",English
"A Week Away","Christian musical",English
"A California Christmas","Romantic comedy",English
"A Christmas Prince","Romantic comedy",English
"All Day and a Night",Drama,English
"American Son",Drama,English
"A Fall from Grace",Thriller,English
Amateur,Sports-drama,English
"Army of the Dead",Zombie/Heist,English
"Alien Xmas","Stop Motion",English
"A Tale of Two Kitchens",Documentary,English/Spanish
"Alex Strangelove","Romantic comedy",English
Apostle,Horror-thriller,English
"Anelka: Misunderstood",Documentary,French
"Ariana Grande: Excuse Me, I Love You","Concert Film",English
ARQ,"Science fiction/Thriller",English
"A 3 Minute Hug",Documentary,English/Spanish
"All the Bright Places",Romance,English
"All Together Now",Drama,English
"Altered Carbon: Resleeved","Anime/Science fiction",Japanese
"Antoine Griezmann: The Making of a Legend",Documentary,French
"A Whisker Away",Anime/Fantasy,Japanese
"Ajeeb Daastaans",Drama,Hindi
"Arlo the Alligator Boy","Animated musical comedy",English
"A Futile and Stupid Gesture",Biographical/Comedy,English
"A Life of Speed: The Juan Manuel Fangio Story",Documentary,Spanish
"A Love Song for Latasha",Documentary,English
"All in My Family",Documentary,English/Mandarin
"Always Be My Maybe","Romantic comedy",English
"AK vs AK",Thriller,Hindi
"Amanda Knox",Documentary,English
"Angela's Christmas",Animation,English
"Angela's Christmas Wish",Animation,English
"American Murder: The Family Next Door",Documentary,English
"Audrie & Daisy",Documentary,English
"American Factory",Documentary,English
"Athlete A",Documentary,English
Anima,"Musical / Short",English
"A Secret Love",Documentary,English
